user_id,session_id,event_name,event_timestamp,product_id,category,price,device_type,traffic_source,country
1333,sess_ebdc6c7379e3,addtocart,2024-03-10 22:22:00,PROD_7753,Beauty,16466.98,tablet,organic,Australia
3249,sess_226b171c312b,AddToCart,2024-03-05 06:10:00,PROD_8143,Beauty,$73.4,mobile,organic,Brazil
3284,sess_129ae99a4cbe,Add_To_Cart,2024-03-23 21:30:00,PROD_6504,Books,78.27,mobile,organic,Canada
2435,sess_0b41ee99a20d,ADD_TO_CART,2024/06/24 06:17,PROD_5364,Automotive,735.98,tablet,ads,USA
1241,sess_9e731e3492f7,AddToCart,18/01/2024 01:36,PROD_9459,Clothing,280.45,mobile,organic,Germany
2940,sess_7f158bd1aa4b,ADD_TO_CART,10/11/2024 07:39,PROD_2195,Clothing,68.45,tablet,direct,Singapore
2307,sess_021753dbc818,null_event,2024-03-13 14:10:00,,Electronics,,desktop,,
2938,sess_6572bfa179ee,View,04-17-2024 12:04:00,PROD_2854,Food & Grocery,,mobile,direct,Japan
3897,sess_a4dac75a500b,click,04-25-2024 00:39:00,PROD_3137,Automotive,596.0,,direct,
3392,sess_fb0033f9aa7c,CHECK_OUT,2024-05-16 09:10:00,PROD_3455,Toyss,186.8,tablet,orgnaic,Germany
2112,sess_c354bd693de2,click,02/02/2024 21:50,PROD_9620,Food & Grocery,870.11,,referral,
3201,sess_a8a5628c88ac,veiw,2024-08-19 03:28:00,PROD_3911,Home & Kitchn,,mobile,Ads,Mexico
3260,sess_700b5f6f70ab,cart_add,2024-12-03 00:24:00,PROD_6027,Jewelry,4295.82,desktop,ads,India
3845,sess_3a42ccd01a44,view,2024-10-16 22:18:00,PROD_5277,Toys,22905.96,tablet,direct,UK
1006,sess_15f92a0feaf4,veiw,2024-08-31 08:13:00,PROD_2269,Sports,288.28,tablet,direct,Germany
2254,sess_2002c4a74c35,check_out,07-24-2024 03:57:00,PROD_8707,Toys,N/A,tablet,DIRECT,USA
1426,sess_18ddaddcd50b,VIEW,2024-11-05 16:03:00,PROD_4323,Home & Kitchen,469.8,desktop,ads,India
2226,sess_7be88378341d,login,2024-02-21 06:00:00,PROD_7106,,,desktop,ads,Germany
2228,sess_7d8a5ba46e58,error_event,2024-02-17 05:15:00,,Home & Kitchen,,,referral,UK
3013,sess_cf6c6d731db7,checkout,2024-07-14 17:23:00,PROD_1829,Beauty,72.0,mobile,direct,Singapore
3902,sess_90234722f7af,addtocart,2024-03-12 06:49:00,PROD_6997,Books,94675.81,mobile,direct,Canada
1298,sess_ad1fe1558ca8,VIEW,2024-07-27 18:07:00,PROD_8126,Books,18.65,mobile,organic,Mexico
2519,sess_afeeabb8a55a,login,2024-10-21 15:28:00,,,820.86,mobile,,UK
1213,sess_3caa92c3f87e,add_to_cart,2024-02-03 13:36:00,PROD_5914,Jewelry,1355.05,mobile,Ads,UK
3793,sess_8276a0118c73,AddToCart,30-Apr-2024 16:43:00,PROD_8768,Toys,97.97,mobile,referral,Brazil
2876,sess_be70eb334b7c,view_item,2024/04/05 11:17,PROD_4905,Food&Grocery,16.66,mobile,ads,Australia
3209,sess_2f0de23c1d9c,add-to-cart,2024-12-09 00:25:00,PROD_9308,Food & Grocery,39.57,tablet,referral,Mexico
3335,sess_f95f7312847e,checkout,14-Nov-2024 00:38:00,PROD_4429,Books,44.59,desktop,referral,Japan
2702,sess_ed7d42844182,null_event,2024-02-28 13:12:00,,Food & Grocery,,desktop,referral,Canada
3124,sess_f5523006a1f6,error_event,2024-11-26 13:59:00,PROD_4112,Automotive,,desktop,referral,
3007,sess_6efecfa484e1,wishlist_add,04-26-2024 19:51:00,PROD_8594,Beauty,,tablet,direct,Australia
3799,sess_dca04dc8c6e4,ADD_TO_CART,2024-12-09 01:46:00,PROD_5499,Home & Kitchn,,tablet,organic,UAE
2847,sess_8b4d4df39e56,search,2024-02-08 08:44:00,PROD_3671,,,desktop,,France
1844,sess_addae8dd96ae,page_view,08-01-2024 07:08:00,PROD_3510,Books,70.19,mobile,organic,Japan
2132,sess_85cd0a6038e4,view_item,2024-09-11 15:17:00,PROD_8912,Home & Kitchen,310.53,mobile,organic,Australia
2186,sess_edf49e2f783a,Add_To_Cart,2024-07-16 21:22:00,PROD_3526,Automotive,746.71,desktop,organic,Australia
2810,sess_d3da66df2bcd,page_exit,2024-04-20 17:42:00,PROD_7684,Home & Kitchen,,mobile,organic,Germany
2852,sess_45ee1f95fe07,cart_add,11-28-2024 12:07:00,PROD_4413,Automotive,494.23,tablet,referral,UK
1547,sess_c1687c574931,null_event,2024-07-31 18:11:00,,,812.14,,,
2157,sess_30759a1ceda7,promo_click,2024-09-12 08:55:00,PROD_3727,Electronics,121.06,,organic,France
2710,sess_c4e5802bfade,hover,2025-01-06 15:45:00,PROD_3318,,,,,Australia
1002,sess_7c025740489b,veiw,2024-03-24 12:19:00,PROD_1916,Books,22.18,tablet,ads,France
1870,sess_49213377cba2,click,2024-11-28 22:55:00,PROD_2866,Jewelry,,desktop,,UAE
3862,sess_d8517e59fddf,Purchase,2024-07-16 21:43:00,PROD_9307,Toyss,194.24,tablet,referral,USA
1545,sess_952c88b2a665,viewed,2024-05-15 19:04:00,PROD_4349,Books,15.86,tablet,direct,UK
1457,sess_a2c75ee3bdc7,addtocart,2024-08-22 21:14:00,PROD_7069,Electronics,1614.52,tablet,organic,France
3884,sess_b2122d51dba2,AddToCart,2024/10/06 15:32,PROD_4956,Automotive,782.26,tablet,ads,Australia
3120,sess_1489e3f8490b,CHECKOUT,2024-08-11 23:59:00,PROD_5736,Automotive,425.67,,direct,Germany
1853,sess_c64292891f20,view_item,15/03/2024 20:23,PROD_7015,Books,64.69,mobile,direct,Mexico
3153,sess_6013c41448e7,viewed,2024-05-15 16:03:00,,Beauty,131.32,desktop,organik,UAE
3827,sess_a6758309de80,null_event,2024/03/19 06:30,,Toys,633.19,tablet,referral,UK
3280,sess_929a7f87b9ba,scroll,2024-02-28 11:59:00,PROD_3318,Clothing,317.12,tablet,direct,Germany
1293,sess_1c765bd40bb7,View,2024-01-20 03:17:00,PROD_4360,Home & Kitchen,116.68,tablet,ads,Canada
3817,sess_84242002e127,CHECK_OUT,2024-02-20 00:59:00,PROD_2834,Food & Grocery,23.89,tablet,ads,Mexico
2908,sess_dd29e976e0b4,chekout,2024-06-25 16:46:00,PROD_1071,Sports,213.42,desktop,direct,Germany
2348,sess_927f4015e667,hover,2024-09-06 17:14:00,PROD_5399,,,,referral,UAE
3103,sess_0aceb41b6d71,null_event,2024-11-02 06:22:00,PROD_7929,Electronics,926.8,desktop,ads,USA
1468,sess_cfb0e5fe8252,view_item,2025-02-07 11:23:00,PROD_2125,Home & Kitchen,229.28,tablet,referral,India
2188,sess_a1e14d844c11,logout,01/10/2024 04:40,,Automotive,739.17,mobile,organic,UAE
1961,sess_e7b60ffe5699,add-to-cart,2024-07-11 05:10:00,PROD_3690,,101.92,tablet,referral,France
3498,sess_d12d74cecd58,View,2024/05/27 12:06,PROD_8079,Home & Kitchen,378.78,tablet,referral,Germany
3835,sess_2e8757b798c6,viewed,2024/04/06 19:22,PROD_7648,Clothing,198.83,tablet,direct,Australia
2267,sess_d2a4c143241a,view_item,08-12-2024 11:23:00,PROD_7557,Electronics,,desktop,ads,Brazil
3479,sess_d0a46bbe8599,checkout,02/04/2024 13:57,PROD_6273,Automotive,749.57,tablet,Referral,Australia
1874,sess_2716d60d9137,add-to-cart,2024-03-17 14:27:00,PROD_6561,Beauty,123.79,desktop,organic,Mexico
2354,sess_d4e40a431907,add-to-cart,09/06/2024 11:20,PROD_2664,Clothing,29.97,mobile,ads,India
3785,sess_44950dc5dd3d,Add_To_Cart,2024-09-29 18:21:00,PROD_1422,Food & Grocery,45.77,desktop,referral,Canada
